epoch,accuracy_function,loss,val_accuracy_function,val_loss
0,0.70860314,1.1982990530111808,0.57871985,2.3362177335298977
1,0.7173018,1.1607118705622583,0.5831714,2.3154589579655576
2,0.7102977,1.1912037021607804,0.58228004,2.334287010706388
3,0.71147466,1.1830625066654288,0.5773387,2.353665544436528
4,0.71643245,1.1607616599515187,0.578743,2.3402278423309326
5,0.71990865,1.1407475721278637,0.57871133,2.349877265783457
6,0.72315645,1.1263809032577405,0.57645404,2.3632751061366153
7,0.726096,1.1133435982808793,0.5848022,2.3309501684629
8,0.72784656,1.1041532460090926,0.58320796,2.325786223778358
9,0.73048806,1.0926023367926372,0.58147633,2.331267081774198
10,0.7206238,1.1326749401984455,0.5738202,2.3666869493631215
11,0.72227746,1.1248178441318677,0.5777082,2.3596538580380955
