epoch,accuracy_function,loss,val_accuracy_function,val_loss
0,0.17366162,5.673088691217436,0.22416656,5.1261803553654595
1,0.24620868,4.910945659918751,0.2577669,4.753426368419941
2,0.2869466,4.579333952004961,0.30834907,4.447345366844764
3,0.31990358,4.314136637629365,0.33868578,4.210028611696684
4,0.35042146,4.08338285993329,0.36618024,3.991309037575355
5,0.3743083,3.8875373876352106,0.3815953,3.826581624838022
6,0.3936335,3.7183906873353094,0.4024944,3.67499329493596
7,0.40993202,3.5677097632730606,0.41748455,3.532902112373939
8,0.425009,3.4319052781990105,0.43357724,3.42608459179218
9,0.43794256,3.3098930073298996,0.444177,3.3412433587587795
10,0.451443,3.1957460787656498,0.4554958,3.2486126789679894
11,0.46230787,3.096268001220209,0.4620436,3.147003724024846
12,0.4722931,2.9985244141208183,0.47456387,3.0781767551715555
13,0.48227125,2.908327541334166,0.4785093,3.0344357857337365
14,0.49241495,2.822756237263302,0.48541042,2.9557873469132643
15,0.50240374,2.7391094856982607,0.4946646,2.9066463066981387
16,0.51072,2.664112263017421,0.5047004,2.846566677093506
17,0.5202287,2.5911935585008252,0.511545,2.7924259992746205
18,0.5272982,2.5269033810217603,0.5187791,2.746909159880418
19,0.5355231,2.4594628617917893,0.5161456,2.7162371231959415
20,0.5414506,2.4031137652534373,0.5231366,2.6983722173250637
21,0.5477908,2.346058773051063,0.52390176,2.668117743272048
22,0.5546264,2.293134490791842,0.53120536,2.607034059671255
23,0.5616457,2.2382347901090442,0.53569484,2.5721448751596303
24,0.5675529,2.19238481461573,0.53293633,2.5739333629608154
25,0.57235014,2.1501881615292255,0.5418491,2.558824300765991
26,0.5777466,2.1051686543354884,0.5410893,2.5582246963794413
27,0.5832472,2.0633424496907984,0.543424,2.5089340026562033
28,0.5880011,2.0231798121826254,0.5419634,2.5077416530022254
29,0.59335524,1.9837008969818088,0.5518757,2.462157102731558
30,0.597336,1.9470779572030623,0.55071735,2.469402918448815
31,0.6018272,1.9137346416497403,0.5457746,2.4741144363696757
32,0.6059901,1.8775235350183446,0.5479586,2.47603702545166
33,0.611239,1.843745075112624,0.5486034,2.461650775029109
34,0.6141236,1.815011646035764,0.55257833,2.433971038231483
35,0.6188871,1.7820293523853632,0.5540092,2.42813464311453
36,0.6227592,1.751258564509934,0.55049753,2.458340993294349
37,0.6265679,1.7240405850273242,0.5529209,2.432587036719689
38,0.6300123,1.6968790389222206,0.5514196,2.4551240297464223
39,0.6343491,1.6681655411668819,0.5535899,2.4351860193105845
