epoch,accuracy_function,loss,val_accuracy_function,val_loss
0,0.7094117,1.1972154152693508,0.58406997,2.333283259318425
1,0.7187577,1.1563523780527731,0.58342606,2.3175474130190334
2,0.7224237,1.135925402958616,0.58322835,2.330646093075092
3,0.7257712,1.1214132105275023,0.5785226,2.3397178649902344
4,0.72745574,1.10979794769836,0.5843376,2.338898695432223
5,0.7301065,1.100081115639467,0.58697796,2.3205638115222635
6,0.7307931,1.091755334743493,0.57992756,2.319397128545321
7,0.73304516,1.082620838670422,0.58266324,2.3140664925942054
8,0.7349636,1.075152684137118,0.5768614,2.3450455482189474
9,0.73586875,1.0688931728652913,0.589299,2.308924051431509
10,0.73704445,1.0638763118776486,0.5816789,2.320262853915875
11,0.73808515,1.0597556938799164,0.5831231,2.3356142044067383
12,0.73843545,1.0538246268205504,0.5853214,2.3209787882291355
13,0.7392717,1.0480837969900034,0.58328193,2.3332785276266246
14,0.7403178,1.0447314662470235,0.5857643,2.3331274619469275
15,0.7413529,1.0380401843957763,0.5884192,2.3057279403393087
16,0.7425457,1.0335227481538443,0.5787022,2.3369402518639197
17,0.7431603,1.0307698737588717,0.5826032,2.321003510401799
18,0.74379694,1.0253255356558792,0.5813766,2.3281751045813928
19,0.7449964,1.0225686078234542,0.58874136,2.3382564141200137
